Dates,Death
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,1
2020-02-22,2
2020-02-23,3
2020-02-24,7
2020-02-25,10
2020-02-26,12
2020-02-27,17
2020-02-28,21
2020-02-29,29
2020-03-01,34
2020-03-02,52
2020-03-03,79
2020-03-04,107
2020-03-05,148
2020-03-06,197
2020-03-07,233
2020-03-08,366
2020-03-09,463
2020-03-10,631
2020-03-11,827
2020-03-12,1016
2020-03-13,1266
2020-03-14,1441
2020-03-15,1809
2020-03-16,2158
2020-03-17,2503
2020-03-18,2978
2020-03-19,3405
2020-03-20,4032
2020-03-21,4825
2020-03-22,5476
2020-03-23,6077
2020-03-24,6820
2020-03-25,7503
2020-03-26,8215
2020-03-27,9134
2020-03-28,10023
2020-03-29,10779
2020-03-30,11591
2020-03-31,12428
2020-04-01,13155
2020-04-02,13915
2020-04-03,14681
2020-04-04,15362
2020-04-05,15887
2020-04-06,16523
2020-04-07,17127
2020-04-08,17669
2020-04-09,18279
2020-04-10,18849
2020-04-11,19468
2020-04-12,19899
2020-04-13,20465
2020-04-14,21067
2020-04-15,21645
2020-04-16,22170
2020-04-17,22745
2020-04-18,23227
2020-04-19,23660
2020-04-20,24114
2020-04-21,24648
2020-04-22,25085
2020-04-23,25549
2020-04-24,25969
2020-04-25,26384
2020-04-26,26644
2020-04-27,26977
2020-04-28,27359
2020-04-29,27682
2020-04-30,27967
2020-05-01,28236
2020-05-02,28710
2020-05-03,28884
2020-05-04,29079
2020-05-05,29315
2020-05-06,29684
2020-05-07,29958
2020-05-08,30201
2020-05-09,30395
2020-05-10,30560
2020-05-11,30739
2020-05-12,30911
2020-05-13,31106
2020-05-14,31368
2020-05-15,31610
2020-05-16,31763
2020-05-17,31908
2020-05-18,32007
2020-05-19,32169
2020-05-20,32330
2020-05-21,32486
2020-05-22,32616
2020-05-23,32735
2020-05-24,32785
2020-05-25,32877
2020-05-26,32955
2020-05-27,33072
2020-05-28,33142
2020-05-29,33229
2020-05-30,33340
2020-05-31,33415
